Dist,Elev
0.000000,1299.426339
4.400371,1300.000000
5.380324,1300.130473
7.349968,1300.336078
9.774774,1300.667156
11.568597,1300.911163
11.711698,1300.929988
12.251589,1301.000000
13.648622,1301.169010
14.097292,1301.222417
15.561455,1301.375600
15.585547,1301.377722
15.775853,1301.393567
17.522471,1301.600797
19.459395,1301.826054
20.988488,1302.000000
21.396319,1302.057486
22.317608,1302.184240
22.752129,1302.194675
23.333243,1302.260186
23.365696,1302.263754
23.977895,1302.317481
24.822891,1302.404711
25.270168,1302.452861
27.207092,1302.656319
29.144016,1302.854396
29.279106,1302.867813
30.732819,1303.000000
31.080940,1303.036037
31.604710,1303.087706
31.812276,1303.113512
32.372064,1303.196307
33.017864,1303.275259
33.226166,1303.299575
34.954788,1303.711233
36.039787,1303.989126
36.076827,1304.000000
36.107804,1304.009753
36.891713,1304.308892
37.736794,1304.653494
38.178221,1304.848089
38.362657,1305.000000
38.536907,1305.008547
38.828637,1305.009799
39.129360,1305.011322
39.312428,1305.014432
39.598470,1305.012463
39.872211,1305.013388
40.139650,1305.012312
40.710747,1305.011642
40.765561,1305.011600
40.945768,1305.011295
41.830566,1305.000000
42.265713,1304.861967
42.582659,1304.678527
42.702485,1304.663432
44.639409,1304.356291
46.505664,1304.000000
46.576333,1303.989183
46.625036,1303.980478
48.513258,1303.516219
50.386781,1303.000000
50.450182,1302.989824
51.141112,1302.867170
51.202187,1302.872944
51.416499,1302.883616
51.642719,1302.890301
51.693084,1302.896776
51.806358,1302.901425
52.387106,1302.890659
52.856555,1302.880431
52.938514,1302.886147
53.025500,1302.886844
53.964563,1302.831455
54.891388,1302.838574
55.175868,1302.818107
55.862112,1302.815924
55.937685,1302.789810
56.258322,1302.787744
57.017184,1302.818709
57.319165,1302.847419
57.551457,1302.868731
57.587267,1302.868669
58.364350,1302.821815
59.366748,1302.853582
59.408737,1302.844942
59.794414,1302.871778
61.973660,1302.969021
63.080201,1302.998853
63.096521,1303.000000
63.737160,1303.137866
64.546764,1303.166824
64.633457,1303.158453
64.773517,1303.158141
64.901730,1303.166305
66.053270,1303.309205
66.148044,1303.305543
66.199309,1303.313755
66.491769,1303.292503
66.867340,1303.308858
67.023416,1303.324272
67.689804,1303.421675
67.923086,1303.415290
68.191487,1303.435146
68.271654,1303.403992
68.947933,1303.418213
69.796496,1303.471454
69.994663,1303.455770
70.333478,1303.476881
70.458681,1303.463816
71.246271,1303.518700
72.197320,1303.563387
75.635856,1303.785607
77.272647,1303.875262
78.406712,1303.902461
79.693756,1304.000000
79.823471,1304.046742
80.459016,1304.086442
80.615024,1304.098842
80.995232,1304.179086
81.510843,1304.287843
81.714687,1304.272166
82.078909,1304.292168
82.428360,1304.302128
83.148253,1304.351978
83.290824,1304.334553
83.525054,1304.349825
83.791220,1304.335327
85.431990,1304.436815
87.015242,1304.517593
88.103640,1304.571446
93.035252,1304.865975
95.312981,1305.000000
96.235127,1305.176982
96.825745,1305.209039
97.251250,1305.223637
97.882059,1305.389012
98.349703,1305.468827
98.437853,1305.459019
99.055263,1305.475537
99.963532,1305.497895
100.304424,1305.524966
100.491943,1305.516179
102.498908,1305.620429
102.545659,1305.581525
102.587066,1305.549521
105.075273,1305.696182
107.248095,1305.822254
108.921776,1305.924897
110.040928,1306.000000
110.516907,1306.151673
110.911339,1306.196659
111.071119,1306.196495
111.095283,1306.201131
111.526416,1306.282952
111.786316,1306.301635
112.198084,1306.395240
112.509966,1306.372026
112.878265,1306.389548
113.917974,1306.604020
114.950774,1306.614265
115.819121,1306.653024
117.115293,1306.673392
117.598418,1306.680143
118.761290,1306.736690
119.288558,1306.735171
120.589123,1306.797348
121.246560,1306.808868
123.135304,1306.914717
123.530770,1306.936545
123.607270,1306.927043
124.778625,1307.000000
125.643056,1307.210982
126.064774,1307.238740
126.283846,1307.253529
127.115387,1307.381789
127.669339,1307.369136
127.764762,1307.382738
127.998893,1307.387995
128.121497,1307.376207
128.777751,1307.404401
129.155314,1307.464708
129.680738,1307.548207
130.392995,1307.544792
130.684074,1307.566175
130.800115,1307.548999
132.100226,1307.582870
132.110176,1307.571308
132.618887,1307.580101
133.109721,1307.615284
133.450303,1307.600073
133.838508,1307.611219
135.175324,1307.724862
137.178352,1307.894526
138.710412,1308.000000
139.414504,1308.131078
139.708924,1308.239400
140.030029,1308.227426
140.587076,1308.243565
140.990225,1308.290881
141.195335,1308.291017
141.804671,1308.290633
142.957385,1308.478718
144.292970,1308.526261
145.006907,1308.566761
145.422931,1308.557146
146.157639,1308.596903
146.625751,1308.594323
148.061174,1308.666445
152.629068,1309.000000
152.876157,1309.018175
153.945654,1309.088660
157.584425,1309.331131
157.940466,1309.355440
158.102952,1309.363059
158.535769,1309.384388
159.253274,1309.421733
159.931440,1309.429452
161.583078,1309.521828
162.260250,1309.565888
166.417549,1309.838966
166.672983,1309.855898
168.683358,1310.000000
169.187735,1310.628449
169.983496,1310.667636
170.574847,1310.615704
170.860705,1310.591321
174.732146,1310.676012
175.887571,1310.703990
176.592276,1310.701624
177.741510,1310.747221
178.028564,1310.720990
178.610077,1310.757696
178.889444,1310.766221
179.455984,1310.784679
180.180600,1310.770894
181.277634,1310.820383
181.957571,1310.777598
183.046742,1310.809523
183.628393,1310.827108
183.920317,1310.824245
186.134552,1310.928319
187.064100,1310.957750
187.974129,1311.000000
189.684777,1311.345211
189.754930,1311.330623
189.815928,1311.336690
189.823629,1311.316891
190.033092,1311.320193
190.220451,1311.365536
190.978204,1311.403975
191.318955,1311.449255
191.994794,1311.645357
192.613310,1311.727686
193.199729,1311.723013
194.837816,1311.813188
195.004641,1311.835045
195.346500,1311.879381
195.548795,1311.902388
195.637653,1311.902506
195.680472,1311.905061
196.312106,1311.901201
196.694794,1311.918200
197.954549,1311.937254
198.107397,1311.939429
198.529925,1311.957326
199.765300,1311.963669
200.311244,1311.984235
201.211160,1312.000000
201.501427,1312.006738
202.124429,1312.019747
202.834323,1312.052468
203.500400,1312.042745
203.804686,1312.048657
204.736716,1312.094169
205.048304,1312.084256
205.212193,1312.078588
206.167927,1312.103012
207.780976,1312.087699
207.839777,1312.089799
207.887865,1312.089440
207.995289,1312.093215
208.595182,1312.101991
209.277278,1312.110257
209.510554,1312.111396
210.420914,1312.152354
210.851646,1312.163100
211.211649,1312.158392
211.493314,1312.169926
211.719858,1312.170492
212.038829,1312.177115
212.142059,1312.180269
212.865148,1312.200998
213.633844,1312.210818
213.809606,1312.217712
213.839860,1312.211429
214.249284,1312.225656
214.812804,1312.228005
