Dist,Elev
0,1332.74126
1.216746,1332.811907
2.855847,1332.920762
3.778817,1333
3.967454,1333.020661
5.098043,1333.11453
5.3422,1333.1402
5.658115,1333.168411
8.46443,1333.472701
13.734788,1334
13.820248,1334.012234
13.826214,1334.012075
13.838049,1334.013307
13.855236,1334.01756
14.640663,1334.249919
15.686387,1334.303662
16.551638,1334.384421
17.027207,1334.380178
17.75565,1334.401414
18.457769,1334.468279
18.674218,1334.488485
19.117728,1334.454903
19.223573,1334.410998
19.703672,1334.42629
20.074951,1334.389124
20.31647,1334.411571
21.083972,1334.510496
21.927412,1334.596031
22.070142,1334.610214
22.568271,1334.674351
22.923243,1334.676819
23.611382,1334.731921
23.645583,1334.76574
23.672407,1334.789749
23.978992,1334.838601
24.173295,1334.86675
24.566807,1334.874039
24.687901,1334.881509
24.818143,1334.884319
24.885098,1334.888078
25.397055,1334.881176
25.488424,1334.879777
26.005518,1334.761
27.752983,1334.891866
28.866698,1334.890955
29.719304,1334.888757
30.676876,1334.908966
31.177014,1334.900293
31.722044,1334.917225
32.336341,1334.958602
32.374396,1334.961145
33.364302,1335
33.474714,1335.015833
34.353887,1335.187498
34.973394,1335.252198
35.226089,1335.315874
35.805984,1335.319004
35.969137,1335.319166
36.155821,1335.367039
36.663999,1335.423425
37.35752,1335.542802
38.384272,1335.509847
38.553263,1335.519949
39.275628,1335.527205
39.398028,1335.528102
39.753069,1335.580554
40.667575,1335.57473
41.365376,1335.552188
42.052572,1335.591343
42.232412,1335.549337
42.462561,1335.544999
42.745271,1335.549057
43.385824,1335.556975
44.833434,1335.657966
45.207662,1335.673598
46.214914,1335.752791
47.191047,1335.829579
48.354787,1335.893068
49.684557,1335.981031
49.973376,1336
50.769204,1336.113411
51.027575,1336.106497
51.086433,1336.104252
51.169164,1336.107902
51.371788,1336.109611
53.1542,1336.280786
53.247891,1336.289741
54.370462,1336.37409
55.31873,1336.371192
55.450296,1336.366401
56.19419,1336.384937
56.993865,1336.39705
58.25952,1336.491323
58.500854,1336.493589
64.812794,1336.948696
65.304984,1336.987192
65.468695,1337
65.74602,1337.03779
67.177133,1337.186041
67.504407,1337.189481
67.693981,1337.196487
68.121748,1337.211282
68.655722,1337.242115
68.946542,1337.24908
70.082978,1337.333728
71.48862,1337.437792
72.471975,1337.502833
72.990753,1337.536507
74.860972,1337.680694
77.249969,1337.864796
79.006816,1338
79.044239,1338.005086
79.062253,1338.006692
79.323178,1338.057499
79.638966,1338.092889
82.027963,1338.358749
