Ticker,Adj Close
AALR3,18.25
ABCB4,18.34000015258789
ABEV3,17.45000076293945
ADHM3,1.509999990463257
AFLT3,12.90999984741211
AGRO3,16.89999961853027
AHEB3,31.0
AHEB6,63.41730117797852
ALPA3,25.10000038146973
ALPA4,29.30999946594238
ALUP3,9.970000267028809
ALUP4,7.079999923706055
AMAR3,10.09000015258789
ANIM3,21.95000076293945
APER1,2.299999952316284
APER3,23.5
ARZZ3,60.66999816894531
ATOM3,1.490000009536743
AZEV3,5.46999979019165
AZEV4,2.029999971389771
AZUL4,50.09999847412109
B3SA3,49.79999923706055
BAHI3,104.0
BAHI9,103
BALM3,12
BALM4,11.5
BAUH3,5.0
BAUH4,68.94999694824219
BAZA3,36.29999923706055
BBAS3,46.5099983215332
BBDC3,31.38999938964844
BBDC4,33.34999847412109
BBRK3,4.079999923706055
BBSE3,34.40000152587891
BDLL3,24.01000022888184
BDLL4,6.28000020980835
BEEF11,5.380000114440918
BEEF3,11.89999961853027
BEES3,5.690000057220459
BEES4,5.800000190734863
BGIP3,55.0
BGIP4,38.36000061035156
BIDI3,14.97999954223633
BIDI4,14.89999961853027
BIOM1,0.8500000238418579
BIOM3,9.859999656677246
BKBR3,17.14999961853027
BMEB3,12.19999980926514
BMEB4,11.80000019073486
BMIN4,18.29999923706055
BMKS3,249.0
BNBR3,79.9000015258789
BOBR4,1.720000028610229
BPAC3,25.97999954223633
BPAC5,21.0
BPAN10,8.800000190734863
BPAN4,8.819999694824219
BPAR3,182.0700073242188
BRAP3,28.97999954223633
BRAP4,32.15999984741211
BRDT3,27.6299991607666
BRFS3,32.95999908447266
BRGE11,6.25
BRGE5,8.010000228881836
BRGE7,5.400000095367432
BRGE8,6.900000095367432
BRIV3,8.770000457763672
BRIV4,8.109999656677246
BRKM3,30.48999977111816
BRKM5,28.80999946594238
BRKM6,24.98999977111816
BRML3,15.77999973297119
BRPR3,12.89999961853027
BRSR3,22.70000076293945
BRSR5,23.29999923706055
BRSR6,20.69000053405762
BSEV3,2.480000019073486
BSLI3,42.5
BSLI4,46.0099983215332
BTOW3,54.20999908447266
BTTL3,5.199999809265137
CALI4,50.08000183105469
CAMB3,399.8320007324219
CAMB4,5.800000190734863
CAML3,6.800000190734863
CASN3,18.0
CBEE3,19.0
CCRO3,17.5
CCXC3,2.099999904632568
CEAB3,15.0
CEBR3,51.18999862670898
CEBR5,53.0
CEBR6,48.84000015258789
CEDO3,8.3100004196167
CEDO4,8.489999771118164
CEEB3,38.5
CEEB5,36.08000183105469
CEED3,100
CEED4,100
CEGR3,47.02999877929688
CELP3,2.839999914169312
CELP5,6.849999904632568
CELP6,12.30000019073486
CELP7,6.230000019073486
CEPE3,24.53000068664551
CEPE5,22.64999961853027
CEPE6,19.20000076293945
CESP3,27.70000076293945
CESP5,29.29999923706055
CESP6,29.3700008392334
CGAS3,92.0
CGAS5,99.80000305175781
CGRA3,25.10000038146973
CGRA4,25.0
CIEL3,7.889999866485596
CLSC3,44.9900016784668
CLSC4,38.29999923706055
CMIG3,14.55000019073486
CMIG4,12.88000011444092
CNTO3,27.5
COCE3,50.0
COCE5,61.9900016784668
COCE6,35.0
COGN3,10.28999996185303
CORR3,12
CPFE3,32.02999877929688
CPLE3,61.06000137329102
CPLE5,27.51000022888184
CPLE6,58.90000152587891
CRDE3,22.79999923706055
CRFB3,18.17000007629395
CRIV4,7.300000190734863
CRPG5,22.0
CRPG6,22.3700008392334
CSAB3,49.90000152587891
CSAB4,43.5099983215332
CSMG3,64.44999694824219
CSNA3,11.4399995803833
CSRN3,18.48999977111816
CSRN5,18.0
CSRN6,17.05999946594238
CTKA3,13.0
CTKA4,12.5
CTNM3,10.5
CTNM4,9.0600004196167
CTSA3,5.039999961853027
CTSA4,5.800000190734863
CYRE3,27.3700008392334
DASA3,45.0
DIRR3,11.89999961853027
DMMO11,0.5899999737739563
DOHL3,8.199999809265137
DOHL4,7.699999809265137
DTCY3,4.599999904632568
DTEX3,13.10999965667725
EALT3,14.89999961853027
EALT4,5.099999904632568
ECOR3,14.61999988555908
ECPR3,69.98999786376953
ECPR4,84.9800033569336
EEEL3,300.0
EEEL4,350.0
EGIE3,44.31999969482422
EKTR3,20.0
EKTR4,21.47999954223633
ELEK3,19.69000053405762
ELEK4,16.1299991607666
ELET3,35.79999923706055
ELET5,48.0099983215332
ELET6,37.22999954223633
EMAE3,26.01000022888184
EMAE4,26.20000076293945
EMBR3,17.29000091552734
ENAT3,13.25
ENBR3,19.14999961853027
ENEV3,35.54000091552734
ENGI3,11.78999996185303
ENGI4,9.229999542236328
ENMA3B,52.5
ENMT3,30.97999954223633
ENMT4,31.35000038146973
EQTL3,104.4100036621094
ESTR3,20
ESTR4,28.85000038146973
ETER3,2.660000085830688
EUCA3,6.269999980926514
EUCA4,6.179999828338623
EVEN3,13.25
EZTC3,44.02999877929688
FESA3,28.0
FESA4,18.20000076293945
FHER3,2.309999942779541
FIGE3,43.0
FIGE4,38.0099983215332
FJTA13,0.8999999761581421
FJTA15,0.6499999761581421
FJTA17,0.8100000023841858
FJTA3,4.900000095367432
FJTA4,4.980000019073486
FLRY3,27.0
FRAS3,4.71999979019165
FRIO3,66.0
FRTA3,6.949999809265137
GEPA4,43.90000152587891
GFSA3,6.78000020980835
GGBR3,12.78999996185303
GGBR4,15.4399995803833
GNDI3,57.54000091552734
GOAU3,6.440000057220459
GOAU4,7.179999828338623
GOLL11,12
GOLL4,34.18999862670898
GPAR3,42.15000152587891
GPCP3,33.0099983215332
GRND3,9.899999618530273
